mailtrap	https://github.com/mailtrap/mailtrap-openapi/blob/main/specs/account-management.openapi.yml
eventzilla	https://developer.eventzilla.net/docs/
paypal-transaction	https://github.com/paypal/paypal-rest-api-specifications/tree/main/openapi
uppromote	https://aff-api.uppromote.com/docs/v2/llms.txt
judge-me-reviews	https://judge.me/api/docs.yaml
glassfrog	https://documenter.getpostman.com/view/1014385/glassfrog-api-v3/2SJViY
printify	https://developers.printify.com/openapi.json
finnworlds	https://finnworlds.com/documentation/
k6-cloud	https://api.k6.io/cloud/v6/openapi
productboard	https://developer.productboard.com/.well-known/api-catalog
jobnimbus	https://documenter.getpostman.com/view/3919598/S11PpG4x
mendeley	https://api.mendeley.com/apidocs/apis?convertToOpenApi=true
timely	https://developer.timely.com/
gologin	https://api.gologin.com/docs/swagger-ui-init.js
bigmailer	https://docs.bigmailer.io/llms.txt
mixmax	https://developer.mixmax.com/mixmax/api-next/v2/branches/1.0/reference/reportsdatatable?reduce=false
activecampaign	https://developers.activecampaign.com/llms.txt
bluetally	https://developer.bluetally.com/llms.txt
rollbar	https://docs.rollbar.com/llms.txt
todoist	https://developer.todoist.com/api/v1/
lob	https://docs.lob.com/
brex	https://developer.brex.com/openapi/
rocketlane	https://developer.rocketlane.com/llms.txt
guru	https://developer.getguru.com/getguru/api-next/v2/branches/1.0/reference/postv1searchkeyworddocumentsearch?reduce=false
tempo	https://apidocs.tempo.io/tempo-openapi.yaml
mailchimp	https://us20.api.mailchimp.com/schema/3.0/Swagger.json
toggl	https://engineering.toggl.com/docs/track/openapi/
intercom	https://developers.intercom.com/_bundle/docs/references/@2.16/rest-api/api.intercom.io.yaml
unleash	https://docs.getunleash.io/llms.txt
box	https://github.com/box/box-openapi/tree/main/openapi
box-data-extract	https://github.com/box/box-openapi/tree/main/openapi
invoiceninja	https://api-docs.invoicing.co/
reply-io	https://docs.reply.io/api-reference/bundled.yaml
sendgrid	https://github.com/twilio/sendgrid-oai/tree/main/spec/json
pagerduty	https://raw.githubusercontent.com/PagerDuty/api-schema/main/reference/REST/openapiv3.json
ringcentral	https://assets-developers.ringcentral.com/dpw/api-reference/specs/public/office/rc-platform.yml?v=2026080620260803-0657
flowlu	https://www.flowlu.com/api/json/openapien.json?ver=1785972282755
sendpulse	https://api.sendpulse.com/.well-known/openapi/index.yaml
fastly	https://www.fastly.com/documentation/downloads/fastly.collection.json
genesys	https://api.mypurecloud.com/api/v2/docs/swagger
